Name,Surname,Function,Company,Vehicle,Weight,Height,Postal_code
Bianca,Martins,A & P mechanic,Manning's Cafeterias,2010 Mazda 3,80.9,162,
Raissa,Almeida,Able seaman,Adapt,2011 BMW X6,102.3,156,29.111-250
Beatrice,Lima,Able seaman,Asian Plan,2001 Chevrolet TrailBlazer,65.2,166,
Anna,Cavalcanti,Able seaman,Atlas Architectural Designs,2004 Toyota Camry,79.9,167,
Miguel,Melo,Abstractor,Bumper to Bumper Auto Parts,2000 Peugeot 607,112,168,
Vitor,Ribeiro,Abstractor,Poore Simon's,2003 Suzuki Baleno,116,168,
Emilly,Fernandes,Abstractor,System Star Solutions,1998 Subaru Vivio,75.3,163,
Isabela,Cunha,Academic dean,H. J. Wilson & Company,2002 Citroen C 15,63.1,164,
Sarah,Carvalho,Account clerk,Builders Square,2000 Chevrolet Astro,79.5,155,
Kauan,Pinto,Account clerk,Pak and Save,2007 Land Rover Range Rover,92.7,172,
Kaua,Rocha,Account clerk,Star Bright Investment Group,2007 Alfa Romeo 8C Competizione,67.7,170,
Anna,Pereira,Account executive,Wealthy Ideas,2006 Hyundai Atos,70.5,166,
Melissa,Cavalcanti,Accounting clerk,New World Realty,2011 Renault Modus,66.3,169,
Carlos,Correia,Actor,Hills Supermarkets,2000 GAZ 3111,70.9,187,
Joao,Souza,Addictions nurse,Sound Warehouse,2012 GMC Yukon,98.3,170,
Lavinia,Gomes,Adjudicator,Argus Tapes & Records,2001 Toyota MR2,52.9,164,
Alex,Pinto,Adjudicator,House Works,1997 Renault Safrane,71.5,173,
Luiza,Pinto,Adjuster,Strength Gurus,2009 Honda Pilot,80.1,155,
Sophia,Lima,Administrative assistant,Mr. AG's,1996 Mercedes-Benz SLK,49.7,151,
Jose,Correia,Administrative assistant,Realty Zone,2001 Honda Civic,71.1,171,
Rodrigo,Pereira,Administrative assistant for human resource,Channel Home Centers,2011 Land Rover Defender,98.7,174,
Giovana,Cavalcanti,Administrative director,Weatherill's,1998 AC Cobra,61,160,
Matilde,Rodrigues,Administrative law judge,Carl Durfees,2007 Dodge Ram,65.2,157,
Guilherme,Santos,Administrative law judge,Desert Garden Help,2012 Mercedes-Benz Viano,97.6,190,
Breno,Costa,Administrative leader,Pomeroy's,2002 Porsche Cayenne,67.4,164,
